what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1353543206667
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1353543206792
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1353543207294
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1353543207299
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1353543207341
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1353543207391
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1353543207818
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1353543208048
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543214764
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543229981
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.203.v200901290400,org.eclipse.jst.j2ee.navigator.ui,1353543230851
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543238160
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543247556
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543249474
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543249972
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543254051
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543269492
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1353543272192
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1353543272303
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1353543274795
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1353543276863
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353543278238
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353543279616
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1353543279748
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1353543284653
