what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1353543284692
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordPrevious,1353543318181
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543326686
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1353543326839
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543333294
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543345730
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543357297
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353543358866
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353543359448
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1353543366696
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1353543367359
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1353543367560
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1353543367617
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543367873
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1353543368394
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1353543368660
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543372884
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353543383051
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1353543384796
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1353543386957
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543393821
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543396117
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1353543421422
started,bundle,org.eclipse.jst.jee.ui,1.0.104.v200902040818,org.eclipse.jst.jee.ui,1353543447586
started,bundle,org.eclipse.jst.servlet.ui,1.1.203.v200810222000,org.eclipse.jst.servlet.ui,1353543447803
